FORMA,MODELO,VALOR (Em Reais),BAIRRO,REGIÃO,IMOBILIARIA
Aluguel,comerciais,"1.100,00",Centro,Central,Vasconcelos
Aluguel,comerciais,"1.700,00",Jardim das Colinas,Oeste,Executiva
Aluguel,comerciais,"2.000,00",Jardim Aquárius,Oeste,Piramide
Aluguel,comerciais,"2.500,00",Jardim Maringa,Central,Vasconcelos
Venda,apartamento 2 dormitórios,"142.500,00",Caçapava,Outra Cidade,Alvorada
Venda,apartamento 2 dormitórios,"148.000,00",Vila Industrial,Leste,Executiva
Venda,apartamento 2 dormitórios,"165.000,00",Centro,Central,Piramide
Venda,apartamento 2 dormitórios,"176.000,00",Jardim Morumbi,Sul,Alvorada
Venda,apartamento 2 dormitórios,"179.000,00",Jardim Oriente,Sul,Executiva
Venda,apartamento 2 dormitórios,"180.000,00",Palmeiras de São José,Sul,Independence
Venda,apartamento 2 dormitórios,"185.000,00",Jardim Aquarius,Oeste,Piramide
Venda,apartamento 2 dormitórios,"195.000,00",Jardim Vale do Sol,Sul,Geração
Venda,apartamento 2 dormitórios,"200.000,00",Vila Adyana,Central,Vasconcelos
Venda,apartamento 2 dormitórios,"208.000,00",Bosque dos Eucaliptos,Sul,Terra
Venda,apartamento 2 dormitórios,"215.000,00",Jardim América,Sul,Executiva
Venda,apartamento 2 dormitórios,"225.000,00",Jardim Paulista,Central,Alexandre
Venda,apartamento 2 dormitórios,"225.000,00",Parque Industrial,Sul,Executiva
Venda,apartamento 2 dormitórios,"230.000,00",Jardim Oriente,Sul,Kogake
Venda,apartamento 2 dormitórios,"260.000,00",Parque Industrial,Sul,Ideal
Venda,apartamento 2 dormitórios,"350.000,00",Jardim das Industrias,Oeste,Vasconcelos
Venda,apartamento 2 dormitórios,"390.000,00",Jardim Aquarius,Oeste,Celeste
Venda,apartamento 3 dormitórios,"190.000,00",Floradas de São José,Sul,Elite
Venda,apartamento 3 dormitórios,"220.000,00",Monte Castelo,Leste,Alexandre
Venda,apartamento 3 dormitórios,"230.000,00",Jardim Sul,Sul,Alvorada
Venda,apartamento 3 dormitórios,"250.000,00",Vila Sanches,Central,Piramide
Venda,apartamento 3 dormitórios,"260.000,00",Jardim América,Sul,Alvorada
Venda,apartamento 3 dormitórios,"263.000,00",Jardim Satélite,Sul,Independence
